city,population,latitude,longitude
"Sant Vicenç dels Horts, Spain",28000,41.39328010868231,2.0096016206253298
"Santa Bàrbara, Spain",3777,40.7143638,0.4928268
"Santa Coloma de Cervelló, Spain",8200,41.3689,2.0162809
"Santa Coloma de Gramenet, Spain",120500,41.4551421,2.208910899999978
"Santa Coloma de Queralt, Spain",2850,41.5322215,1.3829246
"Santa Cruz de Tenerife, Spain",208688,28.4636296,-16.2518467
"Santa Eugènia de Berga, Spain",2308,41.9013387,2.2821595
"Santa Eulàlia de Ronçana, Spain",7426,41.6370713,2.2319348
"Santa Lucía de Tirajana, Spain",72145,27.9101389,-15.540136500000015
"Santa Margarida i els Monjos, Spain",7629,41.32126415684146,1.662984421201772
"Santa María de Palautordera, Spain",9620,41.6933702,2.445830800000067
"Santa Marta de Tormes, Spain",14646,40.9497273,-5.6262751
"Santa Pau, Spain",1614,42.1471882,2.5703053
"Santa Perpètua de Mogoda, Spain",25999,41.5353285,2.18214869999997
"Santander, Spain",172044,,
"Santiago de Compostela (Santiago de Compostela City Council)
, Spain",95800,42.8782132,-8.5448445
"Santomera, Spain",16415,38.0601529,-1.0470905
"Santoña, Spain",13000,43.4448965,-3.4561456
"Sarria, Spain",13600,42.7808389,-7.4140766
"Segovia, Spain",51132,40.9429032,-4.1088069
"Senyera, Spain",1122,39.0627973,-0.511016
"Seròs, Spain",25183,41.4636641,0.4107509000000391
"Sestao, Spain",27780,43.3093903,-3.0072372
"Sevilla (Seville)
, Spain",684164,37.3890924,-5.9844589
"Silleda, Spain",9100,42.7020616,-8.2445422
"Sitges, Spain",28969,41.2371851,1.8058859999999868
"Solsona, Spain",9152,41.9939512,1.5160212
"Sort, Spain",2200,42.4103118,1.1287747
"Súria, Spain",6000,41.8316368,1.7537452
"Tarragona, Spain",132000,41.1188827,1.2444908999999598
"Térmens, Spain",1552,41.7170651,0.7615995
"Terrassa, Spain",223011,41.56314820000001,2.0054917
"Teruel, Spain",36267,40.3456879,-1.1064345
"Tiana, Spain",9100,41.4779937,2.267832
"Tías, Spain",21000,28.9578494,-13.6507431
"Tordera, Spain",18421,41.6972043,2.7178464
"Torelló, Spain",14726,42.0491614,2.2626613
"Torre Pacheco, Spain",35676,37.7442385,-0.9536260999999998
"Torre-Serona, Spain",425,50.8389264,4.3842204
"Torrebesses, Spain",25176,50.8389264,4.3842204
"Torrefarrera, Spain",4601,41.6735229,0.6086583
"Torrejón de Ardoz, Spain",130000,40.458874,-3.475829
"Torrelameu, Spain",742,41.7043576,0.7039987
"Torrelodones, Spain",22117,40.5766078,-3.9293646
"Torres de Segre, Spain",2200,41.5340778,0.5141739
"Torrevieja, Spain",100000,37.9847003,-0.6808233
"Tortellà, Spain",816,42.2338828,2.6319543
"Tortosa, Spain",33572,40.8125777,0.5214423
"Tossa de Mar, Spain",5910,41.7225184,2.9302653
"Ullà, Spain",1293,42.0504415,3.1083544
"Utebo, Spain",18602,41.7087277,-0.9986738
"València, Spain",809501,39.4699075,-0.3762881
